id,count
0,93.26
1,210.87
2,91.64
4,31.57
5,68.61
10,123.15
11,186.53
12,324.31
15,34.51
17,111.21
18,297.44
23,259.37
25,87.49
26,38.16
31,219.69
39,147.37
40,26.95
41,183.19
42,361.9
43,160.14
51,220.09
52,87.2
54,16.7
60,148.57
61,143.82
62,112.67
63,31.5
65,118.55
66,110.09
68,156.81
71,71.74
80,30.26
82,65.95
94,128.39
98,258.66
101,33.59
102,131.33
107,103.15
112,245.31
113,81.1
115,56.64
116,120.32
120,147.12
121,88.85
122,337.14
132,208.65
143,89.79
147,63.03
150,17.19
151,84.21
152,222.23
153,92.19
155,180.86
156,81.48
159,186.95
161,143.86
163,46.67
177,177.14
186,13.34
188,20.7
190,84.84
191,80.1
192,265.35
195,315.34
200,147.48
209,317.53
210,15.12
211,236.19
214,132.44
215,26.79
218,98.61
219,31.67
222,130.51
225,15.85
228,321.18
236,223.72
241,36.3
242,182.11
243,227.1
245,18.02
247,250.6
251,135.44
252,87.05
253,86.05
254,88.66
258,324.99
260,53.61
261,163.13
265,112.8
266,292.18
267,289.29
269,157.94
270,66.45
275,98.87
278,33.47
279,84.32
286,95.81
287,28.43
288,209.31
289,140.38
293,19.19
294,154.28
297,44.8
302,124.2
303,65.16
304,67.0
307,101.37
309,16.55
311,176.39
312,132.53
314,173.24
315,241.01
319,163.82
322,114.74
323,65.42
325,129.84
327,248.3
330,33.46
332,193.57
333,18.47
338,98.09
341,107.48
345,184.37
348,119.89
349,46.45
350,116.78
352,55.34
355,14.77
356,236.81
358,58.93
363,132.24
369,153.49
371,17.12
372,135.91
375,313.91
380,137.92
388,47.7
391,148.09
392,255.1
393,371.0
394,213.34
396,27.98
401,35.44
407,103.51
409,84.75
410,114.36
416,119.84
418,122.38
420,145.63
421,249.22
422,136.64
424,288.0
428,328.28
429,243.13
431,159.66
435,9.34
439,114.51
441,11.66
447,94.44
449,142.65
451,138.83
452,16.44
454,203.15
458,235.69
463,124.72
467,15.0
470,229.23
471,154.17
474,290.63
478,16.78
483,121.68
484,128.22
485,88.74
486,125.81
491,99.79
494,100.58
495,236.89
497,220.37
499,150.24
515,108.93
518,213.08
521,161.82
525,159.14
529,251.37
532,153.7
534,105.42
540,107.48
544,302.83
547,164.16
549,45.47
563,36.21
564,134.27
567,125.03
572,102.17
577,125.54
578,281.64
585,340.09
588,136.37
589,119.91
590,106.56
592,16.66
594,213.86
596,14.68
598,343.58
599,151.76
605,36.42
606,129.9
607,247.65
608,210.98
609,64.46
610,288.86
611,186.92
614,138.88
615,218.48
616,252.34
617,133.11
618,241.88
624,119.05
629,131.8
631,93.27
633,97.38
637,25.28
638,107.93
643,71.18
644,142.22
645,32.43
646,203.15
648,180.69
650,37.79
651,201.41
652,261.43
656,114.02
657,20.82
659,60.58
660,197.68
662,102.66
665,382.19
675,310.85
681,159.73
682,213.99
685,19.11
686,208.86
689,25.88
696,130.03
703,132.86
704,97.43
705,123.13
714,229.59
717,104.25
718,15.19
720,89.92
721,249.11
723,234.09
726,197.43
728,145.18
730,195.81
731,27.48
734,346.97
737,75.37
738,19.75
745,158.56
746,27.7
749,220.23
752,27.09
753,180.54
758,237.7
765,15.67
766,232.49
768,86.74
769,189.57
774,138.97
775,107.92
781,58.11
784,336.01
794,20.29
795,269.33
796,85.58
802,172.39
803,215.22
805,32.73
806,289.97
807,104.66
809,15.89
810,165.8
812,191.57
814,118.05
818,245.38
819,128.63
825,63.94
836,111.44
839,122.38
847,259.21
848,180.72
851,114.39
852,138.18
853,33.28
857,143.26
858,45.87
859,226.03
861,23.04
867,99.33
870,196.02
871,227.46
872,248.62
874,366.22
881,200.18
886,134.19
890,55.96
895,160.8
899,93.98
900,268.81
901,256.13
902,257.03
903,40.79
913,255.93
918,185.36
923,128.71
924,34.33
926,24.31
927,18.98
930,219.27
934,30.22
937,127.68
939,133.63
941,94.06
942,370.25
946,272.45
950,96.04
953,79.38
959,106.0
961,30.26
962,101.14
964,75.49
969,176.11
971,153.08
976,38.84
978,240.03
980,240.74
981,141.54
990,371.91
993,19.39
996,20.97
998,320.2
999,190.6
1006,125.63
1008,15.51
1013,32.55
1015,97.09
1016,116.17
1022,302.17
1026,221.38
1028,245.34
1031,53.43
1034,56.3
1037,195.81
1040,63.72
1042,20.83
1046,20.5
1048,103.48
1049,111.39
1050,66.44
1051,216.76
1052,247.68
1055,190.8
1060,155.0
1064,30.8
1066,79.77
1071,100.98
1073,14.04
1089,206.42
1091,93.05
1092,74.72
1093,228.98
1096,309.16
1097,225.03
1098,20.16
1099,42.01
1102,179.89
1107,106.1
1109,38.37
1111,142.09
1112,117.64
1114,308.77
1116,297.03
1117,122.09
1118,62.34
1122,138.44
1124,162.72
1127,121.4
1133,236.08
1134,35.37
1135,147.24
1139,292.28
1143,54.35
1150,120.55
1151,114.4
1153,269.23
1155,28.16
1162,29.34
1163,223.87
1166,23.36
1171,83.94
1172,15.34
1173,253.26
1174,78.16
1177,116.7
1178,171.14
1184,184.74
1185,115.98
1186,124.29
1187,156.47
1188,285.16
1191,135.64
1207,124.97
1213,47.53
1215,125.12
1223,168.9
1227,119.5
1236,56.62
1237,56.11
1238,19.5
1241,31.27
1248,17.79
1250,39.06
1251,160.15
1253,115.37
1255,101.95
1257,183.81
1261,109.65
1262,350.67
1265,131.58
1273,169.46
1277,257.18
1278,107.54
1280,118.44
1284,234.38
1285,335.11
1288,35.96
1295,118.33
1297,363.19
1299,257.67
1304,146.94
1308,39.74
1310,94.41
1311,110.9
1314,96.51
1315,111.09
1318,29.59
1320,327.33
1321,300.36
1322,219.49
1330,110.32
1333,160.58
1334,247.33
1341,147.79
1344,144.89
1351,244.48
1354,102.86
1356,53.59
1363,122.32
1365,206.06
1369,123.22
1373,117.73
1375,121.58
1377,94.72
1379,141.99
1380,270.09
1381,102.58
1384,168.38
1390,188.33
1393,229.07
1395,55.73
1399,328.9
1400,87.68
1401,144.22
1404,157.76
1408,13.08
1409,26.03
1413,233.35
1416,288.98
1418,105.17
1423,100.15
1424,27.96
1425,15.63
1433,267.33
1434,144.53
1436,337.57
1442,250.27
1444,85.75
1445,116.18
1452,231.85
1455,170.7
1462,67.62
1467,75.67
1472,44.52
1475,183.8
1493,115.29
1501,226.9
1503,301.64
1504,217.03
1505,15.05
1511,223.5
1512,56.76
1513,94.55
1514,40.52
1528,233.92
1533,236.1
1534,30.19
1536,145.05
1537,75.33
1539,231.72
1550,223.67
1552,207.84
1554,209.33
1555,367.25
1556,100.02
1559,34.69
1563,256.88
1566,149.57
1567,176.51
1568,30.83
1571,231.64
1572,19.56
1574,53.87
1577,19.45
1583,85.17
1585,29.46
1586,207.81
1587,193.14
1596,154.03
1602,32.62
1604,87.27
1605,35.93
1610,310.03
1611,93.09
1616,37.0
1617,99.13
1618,15.79
1622,43.82
1623,32.36
1628,311.01
1631,17.3
1632,182.9
1633,252.8
1634,316.96
1636,231.18
1637,104.28
1643,119.91
1644,106.52
1646,102.62
1648,202.12
1651,30.98
1656,18.87
1658,148.64
1659,17.22
1665,179.68
1666,142.65
1670,40.23
1674,144.16
1679,203.68
1680,219.11
1683,337.47
1686,27.38
1691,98.32
1693,33.72
1696,40.32
1697,98.9
1703,102.42
1706,27.92
1709,174.17
1710,89.85
1712,208.26
1713,124.48
1718,346.73
1719,176.92
1722,287.13
1723,132.65
1724,282.19
1728,68.65
1730,36.37
1732,27.21
1737,38.99
1745,86.43
1747,14.51
1748,12.35
1755,100.54
1759,19.17
1761,269.53
1764,222.92
1765,158.64
1766,86.45
1768,99.68
1770,29.99
1771,140.5
1774,95.61
1785,132.9
1788,193.9
1792,15.35
1794,234.81
1797,121.71
1798,13.8
1799,270.95
